True,522.0
True,1297.0
False,1446.0
False,877.0
True,513.0
True,543.0
True,518.0
True,510.0
True,537.0
True,528.0
NoResp,1999.0
True,505.0
True,900.0
False,1179.0
True,535.0
True,1615.0
True,1413.0
False,974.0
True,1317.0
True,520.0
NoResp,1999.0
True,520.0
True,543.0
NoResp,1999.0
NoResp,1999.0
True,516.0
True,1644.0
False,1418.0
NoResp,1999.0
True,1218.0
NoResp,1999.0
True,1039.0
True,550.0
False,1717.0
True,519.0
True,532.0
True,527.0
True,518.0
NoResp,1999.0
True,1293.0
True,715.0
False,675.0
NoResp,1999.0
True,667.0
NoResp,1999.0
NoResp,1999.0
True,505.0
True,514.0
False,633.0
True,518.0
